tree,benchmark,run,unit,successes,episodes,success_rate,source
starVLA,libero,ervla_e_staged_batchdrop,libero_object,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_e_staged_batchdrop,libero_spatial,96,100,0.96000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_f_decoder_frozen,libero_10,94,100,0.94000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json
starVLA,libero,ervla_f_decoder_frozen,libero_goal,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json
starVLA,libero,ervla_f_decoder_frozen,libero_object,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json
starVLA,libero,ervla_f_decoder_frozen,libero_spatial,94,100,0.94000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json
starVLA,libero,ervla_g_cam3d_cot05,libero_10,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_g_cam3d_cot05,libero_goal,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_g_cam3d_cot05,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_g_cam3d_cot05,libero_spatial,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_g_cross_only,libero_10,96,100,0.96000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json
starVLA,libero,ervla_g_cross_only,libero_goal,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json
starVLA,libero,ervla_g_cross_only,libero_object,96,100,0.96000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json
starVLA,libero,ervla_g_cross_only,libero_spatial,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json
starVLA,libero,ervla_h_enc_choice_cam3d,libero_10,91,100,0.91000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_h_enc_choice_cam3d,libero_goal,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_h_enc_choice_cam3d,libero_object,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_h_enc_choice_cam3d,libero_spatial,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_i_dec_choice_cam3d,libero_10,94,100,0.94000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_i_dec_choice_cam3d,libero_goal,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_i_dec_choice_cam3d,libero_object,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_i_dec_choice_cam3d,libero_spatial,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_j_dec_choice_staged_cam3d,libero_10,92,100,0.92000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_j_dec_choice_staged_cam3d,libero_goal,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_j_dec_choice_staged_cam3d,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_j_dec_choice_staged_cam3d,libero_spatial,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_latent32,libero_10,90,100,0.90000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_latent32,libero_goal,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_latent32,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_latent32,libero_spatial,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_nolatent,libero_10,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_nolatent/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_nolatent,libero_goal,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_nolatent/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_nolatent,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_nolatent/results/libero/overall_results.json
starVLA,libero,ervla_k2_pi_cam3d_cot05_pifix_nolatent,libero_spatial,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_nolatent/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05,libero_10,46,100,0.46000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05,libero_goal,56,100,0.56000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05,libero_object,70,100,0.70000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05,libero_spatial,59,100,0.59000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked,libero_10,91,100,0.91000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked,libero_goal,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked,libero_object,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked,libero_spatial,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked_seed43,libero_10,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked_seed43/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked_seed43,libero_goal,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked_seed43/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked_seed43,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked_seed43/results/libero/overall_results.json
starVLA,libero,ervla_k_pi_cam3d_cot05_masked_seed43,libero_spatial,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k_pi_cam3d_cot05_masked_seed43/results/libero/overall_results.json
starVLA,libero,ervla_l_split14_gr00t_action,libero_10,90,100,0.90000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_l_split14_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_l_split14_gr00t_action,libero_goal,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_l_split14_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_l_split14_gr00t_action,libero_object,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_l_split14_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_l_split14_gr00t_action,libero_spatial,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_l_split14_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_m_overlap18_gr00t_action,libero_10,94,100,0.94000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_m_overlap18_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_m_overlap18_gr00t_action,libero_goal,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_m_overlap18_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_m_overlap18_gr00t_action,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_m_overlap18_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_m_overlap18_gr00t_action,libero_spatial,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_m_overlap18_gr00t_action/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d,libero_10,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d,libero_goal,96,100,0.96000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d,libero_spatial,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d_rand,libero_10,94,100,0.94000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_rand/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d_rand,libero_goal,96,100,0.96000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_rand/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d_rand,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_rand/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d_rand,libero_spatial,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_rand/results/libero/overall_results.json
starVLA,libero,ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop,libero_10,91,100,0.91000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_mlm_pi_encoder_cam3d_slotdrop15_nolabeldrop_noditdrop/results/libero/overall_results.json
